"post_id"	"post_message"	"by"	"post_published_unix"	"post_lang"	"likes_at_posting"	"likes_count_fb"	"comments_count_fb"	"shares_count_fb"	"reactions_count"	"engagement_index"	"emoji"	"emnum"
"Tjejzonen-1927912313902933"	"#GivingTuesdaySweden - tre sätt att stötta Tjejzonen Giving Tuesday är en dag som sätter fokus på människors vilja att dela med sig både av sin tid och sitt engagemang. Vi vill idag uppmärksamma alla fantastiska Storasystrar medlemmar och samarbetspartners som gör stödet till tjejer möjligt och samtidigt uppmana andra till att göra en god gärning. Det kan du göra enkelt genom att: 1. Skänka en valfri summa via Swish - superlätt och supersnabbt! Swisha till nummer 123 90 02 072. 2. Bli medlem - för bara 200 kronor per år kan du stötta oss lite mer långsiktigt genom ett medlemskap. 3. Starta insamling - starta egen insamling till förmån för Tjejzonen och uppmana dina vänner bekanta och kollegor att skänka pengar. Mer information om hur du blir medlem eller startar insamling kan du hitta på www.tjejzonen.se/stod-oss:=:http://www.tjejzonen.se/stod-oss/ Tusen tack för att du delar med dig på #GivingTuesdaySweden 😘"	"Tjejzonen"	1511859840	"se"	5076	18	0	11	0	29	"face throwing a kiss"	1
"starforlifeofficial-10156696557634576"	"Truely can one lottery ticket really help change the sex habits of young adults? Answer: YES! Thanks to Postkodlotteriet for todays full-page ad in the Swedish daily paper Dagens Nyheter. And most of all thanks to all of you who participate in Postkodlotteriets weekly drawings!"	"starforlifeofficial"	1562072657	"en"	8851	56	1	2	6	65	NA	0
"kfumsverige-1715012785235550"	"Snart live från Bonn!"	"kfumsverige"	1510337219	"se"	2960	0	0	0	0	0	NA	0
"sjoraddning-10155120695498939"	"Tack till dig som sparar med hjärtat! I går på Hjärtedagen fick Sjöräddningssällskapet ta emot den fantastiska summan 393 271 kronor. Spararna i Swedbanks Roburs Humanfond ger varje år 2 % av sitt sparkapital till välgörande ändamål. Stort tack till alla er som valt att rikta pengen till oss! https://www.swedbank.se/privat/spara-och-placera/fonder/hallbara-fonder/humanfond/index.htm#"	"sjoraddning"	1487166677	"se"	64610	291	1	10	4	306	NA	0
"stadsmissionen-10155510754268071"	"Köp vår strumpa till alla och envar. Det hjälper den som inga har. 100 kronor räcker exempelvis till 10 par strumpor för någon som lever i akut hemlöshet. <3"	"stadsmissionen"	1513342869	"se"	24092	40	0	10	4	54	NA	0
"iogtnto-10156233697801289"	"IOGT international föreslås bli officiell partner till WHO."	"iogtnto"	1518168497	"se"	10953	65	2	6	6	79	NA	0
"linkopingsstadsmission.fb-103433377177998"	"Välkommen till årets vårmarknad! Fynda krukor redskap böcker möbler dynor lyktor och mycket mer. Monicamakes kommer vara på plats och göra halsband med mer av gummislang. Rosalindcottage kommer tillverka handgjorda kolor samt annat gott som kommer finnas till försäljning. Kaffe kakor och korv med bröd för billig peng. Passa även på ta kort vid vår Pop-Up vägg och ta chansena att vinna ett presentkort på 500kr. Tävlingsreglerna finns på plats. Vi håller till ute på gården vid butiken i Tornby. Roxtorpsgatan 14B Varmt välkommen!"	"linkopingsstadsmission.fb"	1522999264	"se"	5553	0	0	0	0	0	NA	0
"imsweden.org-1429597073863283"	"ENGAGERA DIG. Globala målen är centrala i IMs arbete. På SDG Summit i New York träffas världens ledare för att öka takten i genomförandet av dem. Målet för Agenda 2030 är ett hållbart samhälle och en ekonomi inom ramen för jordens resurser. Jämlikhet och inkludering ska stå i centrum – och ingen ska lämnas utanför! #Agenda2030 #LeaveNoOneBehind #Globalamålen #ACT4SDGs #StandTogetherNow #IngenSkaLämnasUtanför Läs mer om hur IM arbetar med Globala målen: www.imsweden.org/vad-vi-gor/sa-forandrar-im-varlden/de-globala-malen/"	"imsweden.org"	1569353400	"se"	15390	34	1	3	0	38	NA	0
"rfsl.forbundet-10154473348957301"	"En särskild utredare ska göra en bred kartläggning av transpersoners villkor och situation i samhället och föreslå konkreta insatser som bidrar till förbättrade levnadsvillkor och ett tryggare livsutrymme för transpersoner. DU kan bidra!"	"rfsl.forbundet"	1496067863	"se"	15258	85	1	16	0	102	NA	0
"sverigeforunhcr-1478108542234334"	"En hälsning från Joel Andersson på UNHCR i Syrien till er alla som stöder människorna i Syrien! Jag vill personligen tacka dig som varit med och hjälpt till att hjälpa folk på flykt från kriget."	"sverigeforunhcr"	1490369400	"se"	61637	240	3	22	15	280	NA	0
"GbgStadsmission-1629104167114758"	"Idag har Stadsmissionens volontärer (och kommunikationsavdelningens lilla maskot) varit på #skongress och delat ut information från Sveriges Stadsmissioner om hur man på ett konstruktivt och humant sätt kan arbeta med utsatta EU-medborgare. Där träffade vi bland annat Göteborgs kommunstyrelseordförande Ann-Sofie Hermansson (S) som sedan länge är en av Stadsmissionens vänner och Lars G Linder ordförande i Eskilstuna Stadsmissions styrelse"	"GbgStadsmission"	1491653490	"se"	9139	14	0	0	0	14	NA	0
"RiksforbundetHjartLung-1101097346578583"	"Vi har varit på besök hos vår medlem Anders Juhlin som lever med förmaksflimmer. Anders berättar om livet och hur musiken är hans bästa medicin.Häng med!"	"RiksforbundetHjartLung"	1458227408	"se"	1335	21	0	4	0	25	NA	0
"lakareivarlden-1191685417543819"	"Lucka 6 i Läkare i Världens adventskalender Flyktingstatusen är skriven av män för män. Kvinnor som har varit trafficking offer får inte politisk asyl. - Eliot Wieslander på Europahuset den 7 mars. #liv2016"	"lakareivarlden"	1481008852	"se"	4156	18	0	4	3	25	NA	0
"djurensratt-10156881811663633"	"GOD JUL! 🎄🎅"	"djurensratt"	1545646106	"en"	420153	1436	70	89	275	1870	"christmas tree father christmas"	2
"uppsalastadsmission-2858703440841853"	"Vårens friska vindar gläntar på dörren... 💨🌦 och kanske dags att redan nu börja vårstäda hem köksskåp och garderob? Sortera ut de hela och rena kläder och prylar som du inte längre använder därhemma och lämna gärna in när du besöker någon av våra Second Hand butiker nästa gång. Besöker du oss i Gränbystaden i helgen kan du också hitta dessa kläder och föremål hos oss. Och mycket annat fint givetvis! 🤗 Välkommen in! #uppsala #uppsalastadsmission #secondhand #fynd #kläder"	"uppsalastadsmission"	1583566200	"se"	5535	20	4	3	0	27	"dash symbol"	1
"Afghanistankommitten-10157410158267860"	"Andra staters maktspel är det största hotet mot stabiliteten i Afghanistan. Lite helgläsning om landet med världens mest utsatta folk - Afghanistan. https://sak.se/aktuellt/andra-staters-maktspel-storsta-hotet-mot-stabiliteten"	"Afghanistankommitten"	1573208379	"se"	17765	43	1	3	7	54	NA	0
"Laxhjalpen-1240393539307900"	"Vi är nu i full gång med vår rekrytering av nya engagerade läxhjälpare inför vårterminen! Är det dig vi söker? Häng med! http://laxhjalpen.se/bli-laxhjalpare/ Tack till Adlibris för utrymme i ert nyhetsbrev till studenter!"	"Laxhjalpen"	1449156763	"se"	1451	16	0	0	0	16	NA	0
"eskilstunastadsmission-1563104097177065"	"HAMSTRING AV MAT DRABBAR EKONOMISKT UTSATTA – SÅ KAN DU HJÄLPA TILL Den senaste tidens bunkring av mat har lett till att matbutikerna inte längre har möjlighet att stötta våra verksamheter som tidigare. Maten räcker helt enkelt inte till. Mängden råvaror som vi får från våra samarbetsparters har minskat kraftigt och i vissa fall stannat av helt. Det betyder att vi har svårt att erbjuda näringsrik och varierad kost i våra verksamheter. Det betyder också att vi inte längre kan fylla våra matkassar som Matlaget delar ut som matstöd till familjer och hushåll i ekonomisk utsatthet. I tider när många barn och ungdomar stannar hemma och skolmaten uteblir drabbas dessa familjer extra hårt. Nu behöver vi din hjälp. Ge din gåva så att vi kan fortsätta vårt arbete för att fler eskilstunabor ska kunna äta sig mätta. Tack för ditt bidrag och tack för att du delar inlägget vidare! 💛"	"eskilstunastadsmission"	1584637967	"se"	5485	107	5	89	30	231	"yellow heart"	1
"greenpeace.sverige-10155257254286891"	"De statliga Första till Fjärde AP-fonderna investerar 13 miljarder av våra pensionspengar i nästan hälften av världens smutsigaste fossila företag. Det tycker vi är fel. Skriv under för att sätta press på AP-fonderna att #flyttapengarna och investera för framtiden: https://act.gp/2uoFpy0"	"greenpeace.sverige"	1522594811	"se"	124221	868	19	208	244	1339	NA	0
"AmnestySverige-10154921307564788"	"Den syriska regeringen utför masshängningar i fängelset Saydnaya. Tusentals har dött. Vi kan inte vända ryggen åt det här. Agera!"	"AmnestySverige"	1486467245	"se"	89357	218	96	246	474	1034	NA	0
"reachforchangeorg-3266889486711361"	"Today a reader tomorrow a leader! Happy International Literacy Day! ` International Literacy Day is the annual reminder of the importance of literacy as a matter of dignity and human rights. Despite the efforts of the international community there are still 773 million adults and young people who lack basic literacy skills. The recent pandemic crisis negatively affected the learning of children young people and adults worldwide reminding of the existing gap between reality and desired outcomes. During the initial phase of the pandemic schools were closed disrupting the education of over 50% of the world’s student population. Our social entrepreneurs are always ready to fight back! In response to this wide-spread issue of illiteracy Sheila Osei Boakye from Ghana founded Literacy4Life an organization working to equip children with the fundamental skills required for reading and writing. It offers a faster and effective comprehensive language and literacy program for reading problems through Read Magic digital applications online courses interactive toolkits and reading camps. Since entering our Incubator program several years ago Sheila supported more than 34 000 children and youth."	"reachforchangeorg"	1599559322	"en"	11022	3	0	0	0	3	NA	0
"rfsu.se-1811012375643079"	"Har du lust att ha mer lust? Här är våra fyra bästa tips!"	"rfsu.se"	1534422906	"se"	14485	84	2	53	11	150	NA	0
"reachforchangeorg-998209370246062"	"Child 10 Summit anordnas av Reach for Change och Sophie Stenbeck Family Foundation varje år i Stockholm för att uppmärksamma innovativa ledare till gräsrotsorganisationer världen över. Genom att föra samman passionerade och modiga barnrättshjältar skapar vi ett forum där erfarenheter och lärdomar kan delas. Gemensamt hittar vi lösningar som gör världen till en bättre plats för utsatta barn. Besök http://reachforchange.org/en/about/child10 för mer information om våra enastående pristagare och gilla oss på Child 10 för att inte missa uppdateringar om Child 10 Summit 2016. Vi kan knappt vänta!! Se vår fina film från 2015s Child 10 på https://www.youtube.com/watch?v=WAyTl-nFwjE"	"reachforchangeorg"	1455810065	"se"	9805	20	0	1	0	21	NA	0
"MercyShips-10157871113719900"	"Mercy Ships has partnered with several African countries to donate PPE in order to prevent the spread of COVID-19. Through our Mercy Ships Africa Bureau and key contacts we are exploring ways to best support our partner nations and team all over the world. We are working on providing further donations and we couldn’t have done it without your support!"	"MercyShips"	1592258101	"en"	175687	199	0	29	30	258	NA	0
"hjarnfonden-10154763128653811"	"Att älska någon man inte alltid förstår är något som är svårt att sätta ord på. Ibland kommer man närmre genom att skriva i abstrakt form och sjunga det därav kom låten Love Hate ADHD till. Alla intäkter från skivan har vi beslutat att oavkortat donera till Hjärnfondens ADHD insamling och vi är tacksamma för alla som hjälper oss att dela sprida och donera. Tack på förhand. / Dark Continent https://www.facebook.com/darkcontinentsweden"	"hjarnfonden"	1499613661	"se"	17994	42	0	9	2	53	NA	0
